"Time (ms)","Recording (a.u.)"
3.277661795E0,-7.434308908E-2
3.298538622E0,-8.227790155E-2
3.319415449E0,-8.920560320E-2
3.340292276E0,-9.262367626E-2
3.361169102E0,-9.231849116E-2
3.382045929E0,-9.219641713E-2
3.402922756E0,-9.509567553E-2
3.423799582E0,-1.018097476E-1
3.444676409E0,-1.124607074E-1
3.465553236E0,-1.251258889E-1
3.486430063E0,-1.365703299E-1
3.507306889E0,-1.464278085E-1
3.528183716E0,-1.557359539E-1
3.549060543E0,-1.662343211E-1
3.569937370E0,-1.808221686E-1
3.590814196E0,-2.001403851E-1
3.611691023E0,-2.207098605E-1
3.632567850E0,-2.392651143E-1
3.653444676E0,-2.534562212E-1
3.674321503E0,-2.634357738E-1
3.695198330E0,-2.719199194E-1
3.716075157E0,-2.814111759E-1
3.736951983E0,-2.915738395E-1
3.757828810E0,-3.004547258E-1
3.778705637E0,-3.060701315E-1
3.799582463E0,-3.073519089E-1
3.820459290E0,-3.044831690E-1
3.841336117E0,-2.983794671E-1
3.862212944E0,-2.893765069E-1
3.883089770E0,-2.770775475E-1
3.903966597E0,-2.624591815E-1
3.924843424E0,-2.470168157E-1
3.945720251E0,-2.308114872E-1
3.966597077E0,-2.143009735E-1
3.987473904E0,-1.961729789E-1
4.008350731E0,-1.741386151E-1
4.029227557E0,-1.488082522E-1
4.050104384E0,-1.224402600E-1
4.070981211E0,-9.674367504E-2
4.091858038E0,-7.446516312E-2
4.112734864E0,-5.578783532E-2
4.133611691E0,-3.805658132E-2
4.154488518E0,-2.066103092E-2
4.175365344E0,-3.967406232E-3
4.196242171E0,1.245155187E-2
4.217118998E0,2.639851070E-2
4.237995825E0,3.656117435E-2
4.258872651E0,4.449598682E-2
4.279749478E0,5.056917020E-2
4.300626305E0,5.539109470E-2
4.321503132E0,6.164738914E-2
4.342379958E0,6.927701651E-2
4.363256785E0,7.687612537E-2
4.384133612E0,8.532975249E-2
4.405010438E0,9.399700919E-2
4.425887265E0,1.024506363E-1
4.446764092E0,1.130405591E-1
4.467640919E0,1.260719626E-1
4.488517745E0,1.395916623E-1
4.509394572E0,1.537827692E-1
4.530271399E0,1.680654317E-1
4.551148225E0,1.823175756E-1
4.572025052E0,1.987060152E-1
4.592901879E0,2.174443800E-1
4.613778706E0,2.365184484E-1
4.634655532E0,2.545854060E-1
4.655532359E0,2.707907346E-1
4.676409186E0,2.847376934E-1
4.697286013E0,2.981658376E-1
4.718162839E0,3.122959075E-1
4.739039666E0,3.266701254E-1
4.759916493E0,3.400067141E-1
4.780793319E0,3.501693777E-1
4.801670146E0,3.546861171E-1
4.822546973E0,3.523667104E-1
4.843423800E0,3.445539720E-1
4.864300626E0,3.340250862E-1
4.885177453E0,3.226416822E-1
4.906054280E0,3.111972411E-1
4.926931106E0,2.974944304E-1
4.947807933E0,2.774742882E-1
4.968684760E0,2.508011109E-1
4.989561587E0,2.198858608E-1
5.010438413E0,1.881771294E-1
5.031315240E0,1.598559526E-1
5.052192067E0,1.356852931E-1
5.073068894E0,1.126133000E-1
5.093945720E0,9.002960295E-2
5.114822547E0,6.817835017E-2
5.135699374E0,4.693746757E-2
5.156576200E0,2.829065828E-2
