Frequency,Channel A,Channel B
(ms),(V),(V)

-9.69724498,0.05441450,2.22006900
-9.69468498,0.05441450,2.22006900
-9.69212498,0.05441450,2.22006900
-9.68956498,0.05441450,2.22006900
-9.68700498,0.05441450,2.22006900
-9.68444498,0.05441450,2.22006900
-9.68188498,0.05441450,2.22006900
-9.67932498,0.05441450,2.22006900
-9.67676498,0.05441450,2.22006900
-9.67420498,0.05441450,2.22006900
-9.67164498,0.06344798,2.22006900
-9.66908498,0.06344798,2.22006900
-9.66652498,0.05441450,2.22006900
-9.66396498,0.05441450,2.22006900
-9.66140498,0.06344798,2.22006900
-9.65884498,0.06344798,2.22006900
-9.65628498,0.05441450,2.22006900
-9.65372498,0.06344798,2.22006900
-9.65116498,0.06344798,2.22006900
-9.64860498,0.06344798,2.22006900
-9.64604498,0.06344798,2.22006900
-9.64348498,0.06344798,2.22006900
-9.64092498,0.06344798,2.26508400
-9.63836498,0.07251198,2.22006900
-9.63580498,0.07251198,2.22006900
-9.63324498,0.06344798,2.22006900
-9.63068498,0.06344798,2.22006900
-9.62812498,0.06344798,2.26508400
-9.62556498,0.07251198,2.26508400
-9.62300498,0.06344798,2.22006900
-9.62044498,0.06344798,2.22006900
-9.61788498,0.07251198,2.26508400
-9.61532498,0.07251198,2.26508400
-9.61276498,0.07251198,2.26508400
-9.61020498,0.07251198,2.22006900
-9.60764498,0.07251198,2.26508400
-9.60508498,0.07251198,2.26508400
-9.60252498,0.07251198,2.26508400
-9.59996498,0.07251198,2.26508400
-9.59740498,0.07251198,2.26508400
-9.59484498,0.07251198,2.26508400
-9.59228498,0.07251198,2.26508400
-9.58972498,0.07251198,2.26508400
-9.58716498,0.07251198,2.26508400
-9.58460498,0.07251198,2.26508400
-9.58204498,0.07251198,2.26508400
-9.57948498,0.07251198,2.31025100
-9.57692498,0.07251198,2.26508400
-9.57436498,0.07251198,2.26508400
-9.57180498,0.07251198,2.26508400
-9.56924498,0.07251198,2.26508400
-9.56668498,0.08154546,2.26508400
-9.56412498,0.07251198,2.26508400
-9.56156498,0.07251198,2.26508400
-9.55900498,0.08154546,2.31025100
-9.55644498,0.07251198,2.26508400
-9.55388498,0.08154546,2.26508400
-9.55132498,0.08154546,2.26508400
-9.54876498,0.09060945,2.31025100
-9.54620498,0.09060945,2.26508400
-9.54364498,0.09060945,2.31025100
-9.54108498,0.09060945,2.31025100
-9.53852498,0.09060945,2.31025100
-9.53596498,0.08154546,2.31025100
-9.53340498,0.09060945,2.31025100
-9.53084498,0.09060945,2.26508400
-9.52828498,0.09060945,2.31025100
-9.52572498,0.09060945,2.31025100
-9.52316498,0.09060945,2.31025100
-9.52060498,0.09060945,2.31025100
-9.51804498,0.09060945,2.31025100
-9.51548498,0.09060945,2.31025100
-9.51292498,0.09060945,2.31025100
-9.51036498,0.09060945,2.31025100
-9.50780498,0.09060945,2.31025100
-9.50524498,0.09060945,2.31025100
-9.50268498,0.09060945,2.31025100
-9.50012498,0.09060945,2.31025100
-9.49756498,0.09060945,2.31025100
-9.49500498,0.09060945,2.35526600
-9.49244498,0.09060945,2.35526600
-9.48988498,0.09060945,2.31025100
-9.48732498,0.09060945,2.31025100
-9.48476498,0.09060945,2.31025100
-9.48220498,0.09967345,2.31025100
-9.47964498,0.09967345,2.35526600
-9.47708498,0.09060945,2.31025100
-9.47452498,0.09967345,2.31025100
-9.47196498,0.09967345,2.31025100
-9.46940498,0.09060945,2.31025100
-9.46684498,0.09060945,2.35526600
-9.46428498,0.09967345,2.35526600
-9.46172498,0.09967345,2.31025100
-9.45916498,0.09967345,2.31025100
-9.45660498,0.09967345,2.35526600
-9.45404498,0.09967345,2.35526600
-9.45148498,0.09967345,2.31025100
-9.44892498,0.09967345,2.35526600
-9.44636498,0.09967345,2.35526600
-9.44380498,0.09967345,2.35526600
-9.44124498,0.09967345,2.31025100
-9.43868498,0.09967345,2.35526600
-9.43612498,0.09967345,2.35526600
-9.43356498,0.09967345,2.35526600
-9.43100498,0.09967345,2.35526600
-9.42844498,0.09967345,2.35526600
-9.42588498,0.10870690,2.35526600
-9.42332498,0.10870690,2.35526600
-9.42076498,0.10870690,2.35526600
-9.41820498,0.10870690,2.35526600
-9.41564498,0.10870690,2.35526600
-9.41308498,0.10870690,2.35526600
-9.41052498,0.10870690,2.35526600
-9.40796498,0.10870690,2.35526600
-9.40540498,0.10870690,2.35526600
-9.40284498,0.10870690,2.35526600
-9.40028498,0.10870690,2.35526600
-9.39772498,0.10870690,2.35526600
-9.39516498,0.10870690,2.35526600
-9.39260498,0.11777090,2.40043300
-9.39004498,0.10870690,2.35526600
-9.38748498,0.11777090,2.35526600
-9.38492498,0.10870690,2.35526600
-9.38236498,0.10870690,2.40043300
-9.37980498,0.11777090,2.40043300
-9.37724498,0.10870690,2.40043300
-9.37468498,0.11777090,2.35526600
-9.37212498,0.12680440,2.35526600
-9.36956498,0.11777090,2.40043300
-9.36700498,0.12680440,2.40043300
-9.36444498,0.12680440,2.40043300
-9.36188498,0.12680440,2.40043300
-9.35932498,0.11777090,2.40043300
-9.35676498,0.12680440,2.40043300
-9.35420498,0.12680440,2.40043300
-9.35164498,0.12680440,2.40043300
-9.34908498,0.12680440,2.40043300
-9.34652498,0.12680440,2.40043300
-9.34396498,0.12680440,2.40043300
-9.34140498,0.12680440,2.40043300
-9.33884498,0.12680440,2.40043300
-9.33628498,0.12680440,2.40043300
-9.33372498,0.12680440,2.40043300
-9.33116498,0.12680440,2.40043300
-9.32860498,0.12680440,2.40043300
-9.32604498,0.12680440,2.40043300
-9.32348498,0.12680440,2.40043300
-9.32092498,0.12680440,2.40043300
-9.31836498,0.12680440,2.40043300
-9.31580498,0.12680440,2.40043300
-9.31324498,0.12680440,2.40043300
-9.31068498,0.12680440,2.40043300
-9.30812498,0.12680440,2.40043300
-9.30556498,0.12680440,2.40043300
-9.30300498,0.12680440,2.40043300
-9.30044498,0.13586840,2.40043300
-9.29788498,0.12680440,2.40043300
-9.29532498,0.12680440,2.40043300
-9.29276498,0.13586840,2.40043300
-9.29020498,0.13586840,2.40043300
-9.28764498,0.13586840,2.40043300
-9.28508498,0.13586840,2.40043300
-9.28252498,0.12680440,2.40043300
-9.27996498,0.13586840,2.40043300
-9.27740498,0.13586840,2.40043300
-9.27484498,0.13586840,2.40043300
-9.27228498,0.13586840,2.40043300
-9.26972498,0.13586840,2.40043300
-9.26716498,0.14493240,2.40043300
-9.26460498,0.14493240,2.40043300
-9.26204498,0.13586840,2.40043300
-9.25948498,0.13586840,2.40043300
-9.25692498,0.13586840,2.40043300
-9.25436498,0.14493240,2.40043300
-9.25180498,0.14493240,2.40043300
-9.24924498,0.14493240,2.40043300
-9.24668498,0.14493240,2.40043300
-9.24412498,0.14493240,2.40043300
-9.24156498,0.14493240,2.44560100
-9.23900498,0.14493240,2.44560100
-9.23644498,0.14493240,2.40043300
-9.23388498,0.14493240,2.44560100
-9.23132498,0.14493240,2.40043300
-9.22876498,0.14493240,2.40043300
-9.22620498,0.14493240,2.44560100
-9.22364498,0.14493240,2.44560100
-9.22108498,0.14493240,2.44560100
-9.21852498,0.14493240,2.44560100
-9.21596498,0.14493240,2.44560100
-9.21340498,0.15396590,2.44560100
-9.21084498,0.14493240,2.44560100
-9.20828498,0.14493240,2.44560100
-9.20572498,0.14493240,2.44560100
-9.20316498,0.14493240,2.44560100
-9.20060498,0.14493240,2.44560100
-9.19804498,0.14493240,2.44560100
-9.19548498,0.14493240,2.44560100
-9.19292498,0.14493240,2.44560100
-9.19036498,0.14493240,2.44560100
-9.18780498,0.15396590,2.44560100
-9.18524498,0.15396590,2.44560100
-9.18268498,0.15396590,2.49061600
-9.18012498,0.15396590,2.44560100
-9.17756498,0.15396590,2.44560100
-9.17500498,0.15396590,2.49061600
-9.17244498,0.15396590,2.44560100
-9.16988498,0.15396590,2.49061600
-9.16732498,0.16302990,2.49061600
-9.16476498,0.15396590,2.44560100
-9.16220498,0.15396590,2.44560100
-9.15964498,0.16302990,2.49061600
-9.15708498,0.16302990,2.49061600
-9.15452498,0.16302990,2.49061600
-9.15196498,0.16302990,2.49061600
-9.14940498,0.16302990,2.49061600
-9.14684498,0.16302990,2.49061600
-9.14428498,0.16302990,2.49061600
-9.14172498,0.16302990,2.49061600
-9.13916498,0.16302990,2.49061600
-9.13660498,0.16302990,2.49061600
-9.13404498,0.16302990,2.49061600
-9.13148498,0.16302990,2.49061600
-9.12892498,0.16302990,2.49061600
-9.12636498,0.16302990,2.49061600
-9.12380498,0.16302990,2.49061600
-9.12124498,0.16302990,2.49061600
-9.11868498,0.16302990,2.49061600
-9.11612498,0.16302990,2.49061600
-9.11356498,0.16302990,2.53578300
-9.11100498,0.16302990,2.49061600
-9.10844498,0.16302990,2.49061600
-9.10588498,0.16302990,2.53578300
-9.10332498,0.16302990,2.53578300
-9.10076498,0.16302990,2.49061600
-9.09820498,0.17206340,2.53578300
-9.09564498,0.16302990,2.53578300
-9.09308498,0.16302990,2.53578300
-9.09052498,0.17206340,2.53578300
-9.08796498,0.17206340,2.53578300
-9.08540498,0.17206340,2.53578300
-9.08284498,0.16302990,2.53578300
-9.08028498,0.16302990,2.53578300
-9.07772498,0.17206340,2.53578300
-9.07516498,0.17206340,2.53578300
-9.07260498,0.17206340,2.53578300
-9.07004498,0.17206340,2.53578300
-9.06748498,0.17206340,2.53578300
-9.06492498,0.17206340,2.53578300
-9.06236498,0.17206340,2.53578300
-9.05980498,0.17206340,2.53578300
-9.05724498,0.17206340,2.53578300
-9.05468498,0.17206340,2.53578300
-9.05212498,0.17206340,2.53578300
-9.04956498,0.17206340,2.53578300
-9.04700498,0.17206340,2.53578300
-9.04444498,0.17206340,2.53578300
-9.04188498,0.17206340,2.53578300
-9.03932498,0.17206340,2.53578300
-9.03676499,0.18112740,2.53578300
-9.03420499,0.18112740,2.53578300
-9.03164499,0.18112740,2.53578300
-9.02908499,0.18112740,2.53578300
-9.02652499,0.18112740,2.58095000
-9.02396499,0.18112740,2.58095000
-9.02140499,0.18112740,2.58095000
-9.01884499,0.18112740,2.53578300
-9.01628499,0.18112740,2.58095000
-9.01372499,0.18112740,2.58095000
-9.01116499,0.18112740,2.53578300
-9.00860499,0.18112740,2.53578300
-9.00604499,0.18112740,2.58095000
-9.00348499,0.18112740,2.58095000
-9.00092499,0.18112740,2.58095000
-8.99836499,0.18112740,2.58095000
-8.99580499,0.18112740,2.58095000
-8.99324499,0.18112740,2.58095000
-8.99068499,0.18112740,2.58095000
-8.98812499,0.18112740,2.58095000
-8.98556499,0.18112740,2.58095000
-8.98300499,0.18112740,2.58095000
-8.98044499,0.18112740,2.58095000
-8.97788499,0.19019140,2.58095000
-8.97532499,0.18112740,2.58095000
-8.97276499,0.19019140,2.58095000
-8.97020499,0.19019140,2.58095000
-8.96764499,0.19019140,2.58095000
-8.96508499,0.19922480,2.58095000
-8.96252499,0.19922480,2.58095000
-8.95996499,0.19922480,2.58095000
-8.95740499,0.19922480,2.58095000
-8.95484499,0.19922480,2.58095000
-8.95228499,0.19922480,2.58095000
-8.94972499,0.19922480,2.58095000
-8.94716499,0.19922480,2.58095000
-8.94460499,0.19922480,2.58095000
-8.94204499,0.19922480,2.58095000
-8.93948499,0.19922480,2.58095000
-8.93692499,0.19922480,2.58095000
-8.93436499,0.19922480,2.58095000
-8.93180499,0.19922480,2.58095000
-8.92924499,0.19922480,2.58095000
-8.92668499,0.19922480,2.58095000
-8.92412499,0.19922480,2.62596500
-8.92156499,0.19922480,2.62596500
-8.91900499,0.19922480,2.58095000
-8.91644499,0.19922480,2.62596500
-8.91388499,0.19922480,2.58095000
-8.91132499,0.19922480,2.58095000
-8.90876499,0.19922480,2.58095000
-8.90620499,0.19922480,2.62596500
-8.90364499,0.20828880,2.62596500
-8.90108499,0.19922480,2.62596500
-8.89852499,0.19922480,2.62596500
-8.89596499,0.19922480,2.62596500
-8.89340499,0.20828880,2.62596500
-8.89084499,0.19922480,2.62596500
-8.88828499,0.20828880,2.58095000
-8.88572499,0.19922480,2.62596500
-8.88316499,0.19922480,2.62596500
-8.88060499,0.19922480,2.62596500
-8.87804499,0.19922480,2.62596500
-8.87548499,0.19922480,2.62596500
-8.87292499,0.20828880,2.62596500
-8.87036499,0.20828880,2.67113300
-8.86780499,0.20828880,2.62596500
-8.86524499,0.20828880,2.67113300
-8.86268499,0.20828880,2.67113300
-8.86012499,0.21732230,2.67113300
-8.85756499,0.21732230,2.62596500
-8.85500499,0.20828880,2.67113300
-8.85244499,0.21732230,2.67113300
-8.84988499,0.21732230,2.67113300
-8.84732499,0.21732230,2.62596500
-8.84476499,0.21732230,2.67113300
-8.84220499,0.21732230,2.67113300
-8.83964499,0.21732230,2.67113300
-8.83708499,0.21732230,2.67113300
-8.83452499,0.21732230,2.67113300
-8.83196499,0.21732230,2.67113300
-8.82940499,0.21732230,2.67113300
-8.82684499,0.21732230,2.67113300
-8.82428499,0.21732230,2.67113300
-8.82172499,0.21732230,2.67113300
-8.81916499,0.21732230,2.67113300
-8.81660499,0.21732230,2.67113300
-8.81404499,0.21732230,2.67113300
-8.81148499,0.21732230,2.71614700
-8.80892499,0.21732230,2.71614700
-8.80636499,0.21732230,2.67113300
-8.80380499,0.21732230,2.67113300
-8.80124499,0.21732230,2.67113300
-8.79868499,0.21732230,2.71614700
-8.79612499,0.21732230,2.67113300
-8.79356499,0.22638630,2.67113300
-8.79100499,0.21732230,2.67113300
-8.78844499,0.21732230,2.71614700
-8.78588499,0.21732230,2.71614700
-8.78332499,0.22638630,2.67113300
-8.78076499,0.21732230,2.71614700
-8.77820499,0.22638630,2.71614700
-8.77564499,0.22638630,2.71614700
-8.77308499,0.23545030,2.71614700
-8.77052499,0.22638630,2.71614700
-8.76796499,0.22638630,2.71614700
-8.76540499,0.23545030,2.71614700
-8.76284499,0.23545030,2.71614700
-8.76028499,0.22638630,2.71614700
-8.75772499,0.23545030,2.71614700
-8.75516499,0.23545030,2.71614700
-8.75260499,0.23545030,2.71614700
-8.75004499,0.23545030,2.71614700
-8.74748499,0.22638630,2.71614700
-8.74492499,0.23545030,2.71614700
-8.74236499,0.23545030,2.71614700
-8.73980499,0.23545030,2.71614700
-8.73724499,0.23545030,2.71614700
-8.73468499,0.23545030,2.71614700
-8.73212499,0.23545030,2.71614700
-8.72956499,0.23545030,2.71614700
-8.72700499,0.23545030,2.71614700
-8.72444499,0.23545030,2.71614700
-8.72188499,0.23545030,2.71614700
-8.71932499,0.23545030,2.71614700
-8.71676499,0.23545030,2.71614700
-8.71420499,0.23545030,2.76131500
-8.71164499,0.23545030,2.71614700
-8.70908499,0.23545030,2.76131500
-8.70652499,0.23545030,2.76131500
-8.70396499,0.23545030,2.76131500
-8.70140499,0.23545030,2.76131500
-8.69884499,0.23545030,2.76131500
-8.69628499,0.23545030,2.76131500
-8.69372499,0.23545030,2.71614700
-8.69116499,0.23545030,2.76131500
-8.68860499,0.23545030,2.76131500
-8.68604499,0.24448380,2.76131500
-8.68348499,0.23545030,2.76131500
-8.68092499,0.24448380,2.76131500
-8.67836499,0.24448380,2.76131500
-8.67580499,0.24448380,2.76131500
-8.67324499,0.23545030,2.76131500
-8.67068499,0.23545030,2.76131500
-8.66812499,0.24448380,2.76131500
-8.66556499,0.24448380,2.76131500
-8.66300499,0.24448380,2.76131500
-8.66044499,0.24448380,2.76131500
-8.65788499,0.24448380,2.76131500
-8.65532499,0.24448380,2.76131500
-8.65276499,0.24448380,2.76131500
-8.65020499,0.24448380,2.76131500
-8.64764499,0.24448380,2.76131500
-8.64508499,0.24448380,2.76131500
-8.64252499,0.24448380,2.76131500
-8.63996499,0.24448380,2.76131500
-8.63740499,0.25354780,2.76131500
-8.63484499,0.25354780,2.76131500
-8.63228499,0.24448380,2.76131500
-8.62972499,0.24448380,2.76131500
-8.62716499,0.24448380,2.76131500
-8.62460499,0.25354780,2.76131500
-8.62204499,0.25354780,2.76131500
-8.61948499,0.25354780,2.76131500
-8.61692499,0.25354780,2.76131500
-8.61436499,0.25354780,2.76131500
-8.61180499,0.25354780,2.76131500
-8.60924499,0.24448380,2.76131500
-8.60668499,0.25354780,2.76131500
-8.60412499,0.25354780,2.76131500
-8.60156499,0.25354780,2.76131500
-8.59900499,0.25354780,2.80648200
-8.59644499,0.25354780,2.80648200
-8.59388499,0.25354780,2.80648200
-8.59132499,0.25354780,2.80648200
-8.58876499,0.25354780,2.76131500
-8.58620499,0.25354780,2.80648200
-8.58364499,0.25354780,2.80648200
-8.58108499,0.25354780,2.80648200
-8.57852499,0.25354780,2.80648200
-8.57596499,0.25354780,2.80648200
-8.57340499,0.25354780,2.80648200
-8.57084499,0.25354780,2.80648200
-8.56828499,0.25354780,2.80648200
-8.56572499,0.26261180,2.80648200
-8.56316499,0.25354780,2.80648200
-8.56060499,0.26261180,2.80648200
-8.55804499,0.26261180,2.80648200
-8.55548499,0.26261180,2.80648200
-8.55292499,0.26261180,2.80648200
-8.55036499,0.26261180,2.80648200
-8.54780499,0.27164520,2.80648200
-8.54524499,0.27164520,2.80648200
-8.54268499,0.26261180,2.85149700
-8.54012499,0.27164520,2.85149700
-8.53756499,0.27164520,2.85149700
-8.53500499,0.26261180,2.85149700
-8.53244499,0.27164520,2.80648200
-8.52988499,0.27164520,2.85149700
-8.52732499,0.27164520,2.85149700
-8.52476499,0.27164520,2.85149700
-8.52220499,0.27164520,2.85149700
-8.51964499,0.27164520,2.85149700
-8.51708499,0.27164520,2.85149700
-8.51452499,0.27164520,2.85149700
-8.51196499,0.27164520,2.85149700
-8.50940499,0.27164520,2.85149700
-8.50684499,0.27164520,2.85149700
-8.50428499,0.27164520,2.85149700
-8.50172499,0.27164520,2.85149700
-8.49916499,0.27164520,2.85149700
-8.49660499,0.27164520,2.85149700
-8.49404499,0.27164520,2.85149700
-8.49148499,0.27164520,2.85149700
-8.48892499,0.27164520,2.85149700
-8.48636499,0.27164520,2.85149700
-8.48380499,0.27164520,2.85149700
-8.48124499,0.27164520,2.85149700
-8.47868499,0.27164520,2.85149700
-8.47612499,0.27164520,2.85149700
-8.47356499,0.27164520,2.89666400
-8.47100499,0.27164520,2.85149700
-8.46844499,0.27164520,2.89666400
-8.46588499,0.27164520,2.85149700
-8.46332499,0.28070920,2.89666400
-8.46076499,0.28070920,2.89666400
-8.45820499,0.27164520,2.85149700
-8.45564499,0.27164520,2.89666400
-8.45308499,0.28070920,2.89666400
-8.45052499,0.27164520,2.89666400
-8.44796499,0.28070920,2.89666400
-8.44540499,0.28070920,2.89666400
-8.44284499,0.28070920,2.89666400
-8.44028499,0.28070920,2.89666400
-8.43772499,0.28070920,2.89666400
-8.43516499,0.28974270,2.89666400
-8.43260499,0.28070920,2.89666400
-8.43004499,0.28974270,2.89666400
-8.42748499,0.28070920,2.89666400
-8.42492499,0.28974270,2.89666400
-8.42236499,0.28974270,2.89666400
-8.41980499,0.28974270,2.89666400
-8.41724499,0.28974270,2.89666400
-8.41468499,0.28974270,2.89666400
-8.41212499,0.28974270,2.89666400
-8.40956499,0.28974270,2.89666400
-8.40700499,0.28974270,2.89666400
-8.40444499,0.28974270,2.89666400
-8.40188499,0.28974270,2.89666400
-8.39932499,0.28974270,2.89666400
-8.39676499,0.28974270,2.94183200
-8.39420499,0.28974270,2.94183200
-8.39164499,0.28974270,2.94183200
-8.38908499,0.28974270,2.94183200
-8.38652499,0.28974270,2.94183200
-8.38396499,0.28974270,2.94183200
-8.38140499,0.28974270,2.94183200
-8.37884499,0.28974270,2.94183200
-8.37628499,0.28974270,2.94183200
-8.37372499,0.28974270,2.94183200
-8.37116499,0.28974270,2.94183200
-8.36860499,0.28974270,2.94183200
-8.36604499,0.28974270,2.94183200
-8.36348499,0.29880670,2.94183200
-8.36092499,0.28974270,2.94183200
-8.35836499,0.29880670,2.94183200
-8.35580499,0.28974270,2.94183200
-8.35324499,0.28974270,2.94183200
-8.35068499,0.29880670,2.94183200
-8.34812499,0.29880670,2.94183200
-8.34556499,0.29880670,2.94183200
-8.34300499,0.29880670,2.94183200
-8.34044499,0.29880670,2.94183200
-8.33788499,0.29880670,2.94183200
-8.33532499,0.29880670,2.94183200
-8.33276499,0.30787070,2.94183200
-8.33020499,0.30787070,2.94183200
-8.32764499,0.30787070,2.94183200
-8.32508499,0.30787070,2.94183200
-8.32252499,0.30787070,2.94183200
-8.31996499,0.30787070,2.94183200
-8.31740499,0.30787070,2.94183200
-8.31484499,0.30787070,2.94183200
-8.31228499,0.30787070,2.94183200
-8.30972499,0.30787070,2.94183200
-8.30716499,0.30787070,2.94183200
-8.30460499,0.30787070,2.94183200
-8.30204499,0.30787070,2.94183200
-8.29948499,0.30787070,2.94183200
-8.29692499,0.30787070,2.94183200
-8.29436499,0.30787070,2.94183200
-8.29180499,0.30787070,2.94183200
-8.28924499,0.30787070,2.94183200
-8.28668499,0.30787070,2.98684600
-8.28412499,0.30787070,2.98684600
-8.28156499,0.30787070,2.98684600
-8.27900499,0.30787070,2.98684600
-8.27644499,0.30787070,2.94183200
-8.27388499,0.30787070,2.94183200
-8.27132499,0.30787070,2.94183200
-8.26876499,0.30787070,2.94183200
-8.26620499,0.30787070,2.98684600
-8.26364499,0.31690420,2.98684600
-8.26108499,0.30787070,2.98684600
-8.25852499,0.30787070,2.94183200
-8.25596499,0.31690420,2.98684600
-8.25340499,0.30787070,2.98684600
-8.25084499,0.31690420,2.98684600
-8.24828499,0.31690420,2.98684600
-8.24572499,0.31690420,2.98684600
